file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
135	function	1802	1810	9	currentTimeSpentSeconds	isStrictListeningExam,strictListeningElapsedSeconds,timeLeft,wallClockTimeSpentSeconds	Math,isStrictListeningExam,mode,strictListeningElapsedSeconds,timeLeft,wallClockTimeSpentSeconds
136	function	1812	1829	18	flushActiveSectionTime	activeSectionTimerRef,isReviewMode,sectionTimeSpentSecondsRef	Date,Math,activeSectionTimerRef,isReviewMode,mode,sectionTimeSpentSecondsRef
137	function	1831	1834	4	resetActiveSectionTimer	activeSectionTimerRef,flushActiveSectionTime	Date,activeSectionTimerRef,flushActiveSectionTime
138	function	1836	1850	15	refreshLatestProgressSnapshot	activeQuestionId,currentTimeSpentSeconds,flushActiveSectionTime,fontScale,latestProgressRef,sectionTimeSpentSecondsRef,splitRatio,textHighlights,theme	activeQuestionId,currentTimeSpentSeconds,flushActiveSectionTime,fontScale,latestProgressRef,sectionTimeSpentSecondsRef,splitRatio,textHighlights,theme
139	effect	1852	1854	3		activeQuestionId,examData,fontScale,isStrictListeningExam,refreshLatestProgressSnapshot,splitRatio,strictListeningElapsedSeconds,textHighlights,theme,timeLeft,timedSectionId	activeQuestionId,examData,fontScale,isStrictListeningExam,mode,refreshLatestProgressSnapshot,splitRatio,strictListeningElapsedSeconds,textHighlights,theme,timeLeft,timedSectionId,useEffect
140	effect	1856	1858	3		answers,latestAnswersRef	answers,latestAnswersRef,useEffect
141	effect	1860	1865	6		activeQuestionId,answers,examData,fontScale,isReviewMode,isSubmitted,splitRatio,textHighlights,theme,timeLeft,timedSectionId,writeAttemptBackup	activeQuestionId,answers,examData,fontScale,isReviewMode,isSubmitted,splitRatio,textHighlights,theme,timeLeft,timedSectionId,useEffect,writeAttemptBackup
142	effect	1867	1878	12		activeQuestionId,answers,examData,fontScale,isReviewMode,isSubmitted,splitRatio,textHighlights,theme,timeLeft,timedSectionId,writeAttemptBackup	activeQuestionId,answers,examData,fontScale,isReviewMode,isSubmitted,splitRatio,textHighlights,theme,timeLeft,timedSectionId,useEffect,window,writeAttemptBackup
143	function	1880	1911	32	persistProgressNow	accessToken,examData,isReviewMode,isSubmitted,latestProgressRef,markSyncError,markSyncSaved,refreshLatestProgressSnapshot,setSyncState	Error,JSON,accessToken,attemptApiBaseUrl,buildAttemptRequestHeaders,examData,fetchInternalUserApi,isReviewMode,isSubmitted,latestProgressRef,markSyncError,markSyncSaved,refreshLatestProgressSnapshot,setSyncState
144	function	1913	1925	13	queueProgressPersist	examData,isReviewMode,isSubmitted,persistProgressNow,progressSaveTimerRef,setSyncState	examData,isReviewMode,isSubmitted,persistProgressNow,progressSaveTimerRef,setSyncState,window
145	function	1927	1968	42	flushPendingAnswerSaves	accessToken,examData,isReviewMode,markSyncError,markSyncSaved,pendingAnswerValuesRef,saveTimersRef	Error,JSON,Object,Promise,accessToken,attemptApiBaseUrl,buildAttemptRequestHeaders,examData,fetchInternalUserApi,isReviewMode,markSyncError,markSyncSaved,pendingAnswerValuesRef,saveTimersRef,window
146	function	1970	1976	7	flushPendingProgressSave	persistProgressNow,progressSaveTimerRef	persistProgressNow,progressSaveTimerRef,window
147	function	1978	1982	5	waitForNextPaint		Promise,window
148	effect	1984	1989	6		activeQuestionId,examData,fontScale,isReviewMode,isSubmitted,queueProgressPersist,splitRatio,textHighlights,theme,timedSectionId	activeQuestionId,examData,fontScale,isReviewMode,isSubmitted,queueProgressPersist,splitRatio,textHighlights,theme,timedSectionId,useEffect
149	effect	1991	2003	13		examData,isReviewMode,isSubmitted,persistProgressNow	examData,isReviewMode,isSubmitted,persistProgressNow,useEffect,window
150	effect	2005	2014	10		progressSaveTimerRef,saveTimersRef	Object,progressSaveTimerRef,saveTimersRef,useEffect,window
151	function	2016	2021	6	updateTheme	setTheme	document,localStorage,setTheme
152	function	2023	2030	8	handleSubmit	isReviewMode,isSubmitted,submitAttempt,unansweredCount,updateActiveDialog	isReviewMode,isSubmitted,submitAttempt,unansweredCount,updateActiveDialog
153	function	2032	2044	13	dismissActiveDialogFromBackdrop	activeDialog,fullscreenDialogStage,recoverFullscreen,setFullscreenDialogStage,updateActiveDialog	activeDialog,fullscreenDialogStage,recoverFullscreen,setFullscreenDialogStage,updateActiveDialog
